id,judul,foto,penerbit,isbn,tempat_terbit
,Sepak Terjang Bisnis Para Taipan,,alvabet,979-95821-0-5,Jakarta
,Studi Kelayakan Bisnis,,PT. Rinika Cipta,979-518-748-1,Jakarta
,Studi Kelayakan Bisnis,,Rineka Cipta,979-518-748-1,Jakarta
,Pengantar Bisnis Modern : Studi Kasus Indonesia dan Analisis Kuatitatif : Studi Kasus Indonesia dan Analisis Kuantitatif,,Garfika Offset,979-526-775-2,Jakarta
,Creative time management : Tujuh prinsif DR. Yager untuk meningkatkan produktivitas Bisnis dan Pribadi anda,,Bahana Ilmu Populer,979-694-361-1,Jakarta
,Administrasi kepegawaian,,Gramedia Pustaka Utama,979-497-012-3,Yogyakarta
,Top Secretary : Membangun Kepribadian dan Keterampilan Menjadi Sekretaris Profesional,,Erlangga,979-688-865-3,Jakarta
,Kappita selekta kedokteran,,Media Aesculaplus,979-95607-1-3,Jakarta
,Pengantar ke dunia profesi kedokteran,,Yayasan Bina Pustaka Sarwono Prawirohardjo,979-8159-180-x,Jakarta
,Dasar-Dasar Ilmu Administrasi,,Ghalia Indonesia,979-450-129-8,Jakarta
,Bisnis ubikayu Indonesia,,Pustaka Sinar Harapan,979-416-779-7,Jakarta
,Human relation and your career,,Gramedia Pustaka Utama,0-13-446253-X,New Jersey
,Manajemen perawatan mesin,,Rineka Cipta,979-518-185-8,Jakarta
,Mempertahankan eksistensi bisnis di millenium baru,,PT. Elex Media Komputindo,979-20-0986,Jakarta
,Sekretaris Yang Sukses,,Erlangga,50-01-001-6,Jakarta
,Pengantar Arsitektur,,Erlangga,12-00-060-6,"Ciracas,Jakarta"
,Pengantar ekonomi perusahaan,,Erlangga,54-01-009-5,Jakarta
,Dasar-dasar gambar perspektif : sebuah pendekatan fisual,,Gramedia Pustaka Utama,979-688-243-4,Jakarta
,Mega Seling Rahasia Seorang Penjual Ulung,,Erlangga,979-688-291-4,Jakarta
,Pelayanan prima perpajakan,,Gramedia Pustaka Utama,979-518-870-4,Jakarta
,Sekretaris Profesional,,Erlangga,50-01-002-2,Jakarta
,Contoh Bentuk-Bentuk Surat Di Bidang Kepengacaraan Perdata,,Sinar Grafika,979-8061-77-2,Jakarta
,Koordinasi Alat Pemersatu Gerak Administrasi,,Intermedia,979-8081-005-5,Jakarta
,Tahu Dan Pengetahuan Pengantar Ke Ilmu Dan Filsafat,,Rineka Cipta,979-518-193-9,Jakarta
,Pengantar Studi Penelitian Kebijakan,,Bumi aksara,979-526-178-9,Jakarta
,Metodologi PenelitianSistim Informasi,,Andi,978-979-29-0375-1,Yogyakarta
,Riset Keperawatan Dan Teknik Penulisan Ilmiah,,Salemba Medika,978-979-3027-45-3,Jakarta
,Metode Penelitian Survai,,LP3ES,979-8015-47-9,Jakarta
,Fisika kedokteran,,EGG,979-448-058-4,Jakarta
,Mebgebal alat-alat kesehatan kedokteran,,Depot Informasi Obat,979-8530-06-3,Jakarta
,Tata Bahasa Praktis Bahasa Indonesia,,Gramedia Pustaka Utama,979-516-7376,Jakarta
,Prinsip-Prinsip Filologi Indonesia,,Rul,979-8310-06-3,Jakarta
,Komunikasi dalam keperawatan,,EGC,979-448-751-1,Jakarta
,Pengantar fisika kesehatan,,Pergamon,0-08-030936-4,Jerman
,Menuju seni ilmu kedokteran : bagaimana dokter berpikir dan bekerja,,Gramedia Pustaka Utama,979-22-0769-4,Jakarta
,Mari berkarya Rupa,,Gramedia Pustaka Utama,979-8591-29-1,ITB Bandung
,Tata Bahasa Praktis Bahasa Indonesia,,Rineka Cipta,979-518-737-6,Jakarta
,Pengkajian kesehatan,,Program Pasca Sarjana Magister Ilmu Administrasi Negara Unmul,979-448-329-x,Jakarta
,komunikasi internasional,,Remaja Rosdakarya,979-514-224-0,Bandung
,Dasar-dasar metodologi penelitian kedokteran & kesehatan,,Raja Grafindo Persada,979-421-366-7,Jakarta
,Undang-Undang praktik kedokteran 2004,,Sinar Grafika,979-3421-91-6,Jakarta
,the cashflow quadrant; panduan Ayah kaya menuju kebebasan finansial,,Gramedia Pustaka Utama,979-655-912-9,Jakarta
,Pengantar statistik keperawatan,,EGC,979-448-252-8,Jakarta
,Pengantar Teori Linguistik,,Gramedia Pustaka Utama,979-605-316-0,Jakarta
,Dasar-dasar metodologi penelitian klinis,,Binarupa Aksara,979-583-595-5,Jakarta
,Pengantar Semantik Bahasa Indonesia,,Gramedia Pustaka Utama,979-518-150-5,Jakarta
,Peranan orang tuan dalam pendidikan seks,,Rajawali Pers,979-421-006-4,Jakarta
,Medical terminology,,McGraw-Hill,0-02-801289-5,America
,Pendidikan dan perilaku kesehatan,,Rineka Cipta,979-518-869-0,Jakarta
,Etnografi Komunikasi,,CV. Yrama Widya,978-602-8323-17-8,Bandung
,Format-format penelitian sosial,,Raja Grafindo Persada,979-421-209-1,Jakarta
,Keterampilan keperawatan dasar,,Erlangga,978-979-334-526,Jakarta
,Metode Penelitian Komunikasi,,Remaja Rosdakarya Offset,979-514-161-9,Bandung
,Makro sosiologi : sebuah pendekatan terhadap realistis sosial,,Gramedia Pustaka Utama,979-421-330-6,Jakarta
,Pedoman penelitian kedokteran,,Airlangga University Press,979-8990-02-1,Surabaya
,Perempuan Dalam Seni Pertunjukan Minangkabau : Suatu Tinjauan Gender,,Kalika,979-9420-14-8,Joqjakarta
,Teknologi elisa dalam diagnosis & penelitian,,Gadjah Mada University Press,979-420-364-5,Jakarta
,Desain Dan Kebudayaan,,Depdikbud,979-8439-27-9,Jakarta
,Grafik Lansekap,,Erlangga,979-688-116-5,Jakarta
,An Anthology Of Scientific Articles Harmony In Diversity,,Ma Chung Press,978-979-17959-0-6,Malang
,Statistics for the social sciences,,With Computer,0-06-046894-7,New York
,Pengantar Seni Rupa,,Departemen Pendidikan,979-8439-32-5,Jakarta
,Ilmu sosial dasar,,Bumi aksara,979-526-026-x,Jakarta
,Motodologi Research,,Andi Yogyakarta,979-731-449-9,Yogyakarta
,Metode penelitian bidang sosial,,Gadjah Mada University Press,979-420-064-6,Yogyakarta
,Sociological theory and collective subyectivity,,Macmillan Press,0-312-12976-9,London
,Buku bacaan antropologi biologis,,Depdiknas,979-8439-21-X,Yogyakarta
,Ilmu sosial dasar,,Rineka Cipta,979-518-187-4,Jakarta
,Metode Penelitian Hukum,,Rineka Cipta,979-518-662-0,Jakarta
,Penelitian ilmu-ilmu sosial,,FEUI,979-8140-71-0,Jakarta
,Metode Riset Aplikasinya Dalam Pemasyaran,,Fakultas Ekonomi UI,979-41-8140-34-6,Jakarta
,"Sosiologi dunia ketiga, Kesenjangan dan Pembangunan",,Gramedia Pustaka Utama,979-511-428-X,Jakarta
,Metode Research,,Bumi aksara,979-526-235-1,Jakarta
,Sosiologi kontemporer,,Raja Grafindo Persada,979-421-087-0,Jakarta
,Metodologi penelitian kualitatif,,Rajawali Press,979-421-856-1,Jakarta
,Secondary research information sources and methods,,Newbury Park,0-8039-2338-4,London
,Metodologi penelitian sosial,,Bumi aksara,979-526-278-5,Jakarta
,manajemen risiko bisnis,,PT.geramedia,979-655-190x,Jakarta
,Metode penelitian ilmu pengetahuan sosial,,Ikip Semarang Press,979-8107-73-x,Semarang
,Metode Penelitian Sosial Ekonomi,,Bumi aksara,979-526-770-1,Jakarta
,Metode penelitian sosial pengertian dan pemakaman praktis,,PT. Gramedia Pustaka Utama,979-511-454-9,Jakarta
,Sosiologi dunia ketiga,,Gramedia Pustaka Utama,979-511-428-X,Jakarta
,Solusi untuk indonesia,,Kandel,978-979-15900-3-7,Jakarta
,Inside management a selection of readings from business week,,Gramedia Pustaka Utama,0-07-025947-X,Bandung
,Prosedur Penelitian Suatu Pendekatan Praktik,,Rineka Cipta,979-516-018-5,Jakarta
,Pengantar ilmu komunikasi,,Ghalia Indonesia,979-450-490-4,Jakarta
,Teknik Praktis Riset Komunikasi,,Kencana Prenada Media,979-3925-62-0,Jakarta
,Kapitalisme dan teori sosial modern,,Gambridge university press,979-8034-29-5,Jakarta
,Ilmu sosial dasar,,Bina Aksara,412-A-1-88,Jakarta
,Teknik Membuat Alat Ukur Penelitian,,Fitramaya,979-3734-13-2,Yogyakarta
,Ilmu sosial dan budaya dasar,,Kencana Prenada Media Group,979-3925-39-6,Jakarta
,Materi pokok PGSD 2102/4 SKS modul 1-12 konsep dasar IPS,,Universitas Terbuka,979-602-563-9,Jakarta
,Surat dinas,,Akademika pressindo,979-8035-55-0,Jakarta
,Marketing Research,,Prentice Hall,0-13-196846-7,USA
,Introduction to sociology,,Mc Graw-Hill Publishing Company,0-07-011602-4,America
,Metode Penelitian Ilmu-Ilmu Prilaku,,Bumi aksara,979-526-202-5,Jakarta
,Manajemen kantor,,Indeks,1-56052-604-1,Jakarta
,Understanding Society,,Harper Collins,0-06-045163-7,New York
,Administrasi negara negara berkembang teori masyarakat prismatis,,Yayasan solidaritas gajah mada,979-421-172-9,Yogyakarta
,Antropologi,,Erlangga,62-10-042-5,Jakarta
,Metode Penelitian Komunikasi Kontemporer,,Andi Offset,979-731-211-9,Yogyakarta
,New Philosophy of social science,,Polity Press,0-7456-0632-6,America
,Sosiologi sistematik,,Kanisius,979-413-045-1,Yogyakarta
,Metodologi Penelitian,,Raja Grafindo Persada,979-421-104-4,Jakarta
,"Sosiologi skematika,teori, dan terapan",,PT. Bumi Aksara,979-526-179-7,Jakarta
,Sosiologi skematika teori dan terapan,,Bumi aksara,979-526-179-7,Jakarta
,Pokok-pokok pikiran dalam sosiologi,,PT. Raja Grafindo Persada,979-421-472-8,Jakarta
,Antropologi perkotaan,,Rajawali Pers,979-421-326-8,Jakarta
,Psikologi sosial,,Rineka Cipta,978-979-518-885-8,Jakarta
,Buku bacaan antropologi biologis,,Direktorat Jenderal Pendidikan Tinggi Departemen Pendidikan Nasional,979-8439-21-X,Jakarta
,Pengantar konsep dasar keperawatan,,Salembia medika,978-979-3027-49-4,Jakarta
,Anatomi fisaiologi untuk keperawatan,,EGC,979-448-525-x,Jakarta
,"Pemenuhan kebutuhan dasar manusia: kehilangan ,kematian dan berduka dan proses keperawatan",,Sagung seto,979-3288-13-2,Jakarta
,Bimbingan Menulis Skripasi Dan Thesis,,Andi Offset,979-731-458-8,Yogyakarta
,"pemenuhan kebutuhan dasar manusia : kehilangan,kematian dan berduka dan proses keperawatan",,Sagung seto,979-3288-13 -2,Jakarta
,Manajemen Penelitian,,Rineka Cipta,979-318-153-x,Yogyakarta
,Buku ajar histologi = Textbook of Histology,,Gramedia Pustaka Utama,979-448-089-4,Jakarta
,Manajemen Penelitian,,Rineka Cipta,979-518-153-x,Jakarta
,Pengantar konsep dasar keperawatan,,Angkasa,27-49-4,Jakarta
,Proses keperawatan,,Fakultas Ekonomi UI,979-456-051-0,Jakarta
,Statistika Hubungan Kausal Berdasarkan Data Kategorik,,Rajawali Pers,979-421-614-3,Jakarta
,Metode Penelitian Pendidikan,,Bumi aksara,979-526-852-x,Jakarta
,Pengantar Penelitian Ilmiah Dasar Metoda Teknik,,tarsito,979-8903-86-2,Bandung
,Metode Penelitian,,Raja Grafindo Persada,979-421-104-4,Jakarta
,Metode Penelitian Suatu Pendekatan Proposal,,Djambatan,979-526-016-2,Jakarta
,Metode Penelitian Dalam Teori Dan Praktek,,Gramedia Pustaka Utama,979-518-180-7,Jakarta
,Metode Penelitian Praktis,,BPFE,979-503-231-3,Yogyakarta
,Biologi sel,,Gramedia Pustaka Utama,979-448-550-0,Jakarta
,Metode penelitian komunikasi dilengkapi contoh analisis statistik,,Remaja Rosdakarya,979-514-161-9,Bandung
,Metode3 penelititan dan komunikasi : Pendekatan praktis penulisan proposal dan laporan penelitian,,Universitas Muhammadiyah Malang,979-796-917-x,Malang
,Metode penelitian sosial : suatu teknik penelitian bidang kesejahteraan sosial dan ilmu sosial,,Gramedia Pustaka Utama,979-514-525-8,Bandung
,Metodologi penelitian kesehatan,,Rineka Cipta,979-518-351-6,Jakarta
,Metodologi penelitian,,Gramedia Pustaka Utama,979-421-104-4,Jakarta
,Pertumbuhan dan perkembangan: Seni Pertunjukan Wayang,,Citra Etnika,979-3192-107-0,Surakarta
,Metode penelitian administrasi dolengkapi dengan metode R&D,,Gramedia Pustaka Utama,979-8433-02-5,Bandung
,Metodologi penelitian pendidikan kuantitatif & kualitatif,,Gramedia Pustaka Utama,978-979-769-162-2,Jakarta
,Tuntutan lengkap metodologi praktis penelitian pendidikan : buku panduan super praktis penelitian pendidikan modern terkini,,Diva,978-602-978-663-7,Jogjakarta
,Metode penelitian public relation dan komunikasi,,Gramedia Pustaka Utama,979-421-966-5,Jakarta
,Metoda statistika,,tarsito,979-9185-37-8,Bandung
,Sistem saraf dan alat-alat sensoris,,HIpokrates,979-492-081-9,Jakarta
,Metode penelitian bisnis untuk akuntansi & manajemen,,BPFE,979-503-372-7,Jakarta
,Riset Partisipatoris Riset Pembebasan,,Gramedia Pustaka Utama,979-511-766-7,Jakarta
,Anatomi sistem reproduksi,,Fakultas kedokteran UI,979-496-355-0,Jakarta
,Metodologi penelitian hukum statistik,,Asdi Mahasatya,979-518-886-0,Jakarta
,Sosiologi dunia ketiga kesenjangan dan pembangunan,,Gramedia Pustaka Utama,979-511-428-X,Jakarta
,Keterampilan dasar praktik klinik kebidanan,,Salemba Medika,979-3027-43-6,Jakarta
,Tata Ruang,,Kanisius,979-413-295-0,Semarang
,Asas-Asas Penelitian Behavioral,,Gajah mada university press,979-420-171-5,Yogyakarta
,Analisis data penelitian dengan statistik,,Bumi aksara,979-526-960-7,Jakarta
,Pengantar antropologi,,Rineka Cipta,979-51-663-9,Jakarta
,English Pattern Practices,,The University of Michigan,0-472-08302-3,Michigan
,Pokok-pokok pikiran dalam sosiologi,,Raja Grafindo Persada,979-421-472-8,Jakarta
,Birokrasi politik di indonesia,,Gramedia Pustaka Utama,979-421-930-233,Jakarta
,Anatomi & fifiologi tubuh manusia,,EGC,979-448-308-7,Jakarta
,writing as a thinking process,,The University of Michigan,0-472-08550-6,Semarang
,Mengenal beberapa uji statistik dalam penelitian,,Liberty,979-449-237-2,Yogyakarta
,Sejarah Teori Antropologi II,,Universitas Indonesia,979-456-038-3,Jakarta
,Sinima apakah itu,,departemen pendidikan dan kebudayaan,979-459-657-4,Jakarta
,Sosiologi untuk masyarakat indonesia,,Gramedia Pustaka Utama,979-518-501-2,Jakarta
,Pengantar metode penelitian,,Fakultas Ekonomi UI,979-456-031-6,Jakarta
,Anthropology,,"McGraw-Hill, inc",0-07-035616-5,Amerika
,Sosiologi makro : sebuah pendekatan terhadap realitas sosial,,Gramedia Pustaka Utama,979-421-330-6,Jakarta
,Pemimpin dan kepemimpinan,,Gramedia Pustaka Utama,979-421-053-2,Jakarta
,Operations research,,Fakultas Ekonomi UI,979-8140-17-6,Jakarta
,Teori sosiologi modern,,Kencana,979-3465-38-7,Jakarta
,10 model penelitian dan pengolahannya dengan SPSS 14,,Wahana Komputer,979-763-523-6,Semarang
,Sosiologi untuk masyarakat indonesia,,PT. Bina Aksara,078-A-11-89,Jakarta
,Metode Penelitian Pendidikan,,Rineka Cipta,979-518-714-7,Jakarta
,Penafsiran potret udara,,Akademika pressindo,979-8035-26-7,Jakarta
,Perilaku Politik,,Ikip Semarang Press,979-8579-37-2,Semarang
,Hubungan internasional kontemporer dan masalah global,,PT. Refika Aditama,979-3304-3-9,Bandung
,Indonesia : kesenian suatu daerah kepulauan,,Depdikbud,979.459 586-1,Jakarta
,Pengantar antropologi,,Gramedia Pustaka Utama,979-518-663-9,Jakarta
,Cakepung,,kalika press,979-9420-17-2,Yogyakarta
,Metodologi Penelitian Kualitatif,,Remaja Rosdakarya,979-692-139-1,Bandung
,Kothekan lesung banarata,,Intra pustaka utama,979-98013-9-6,semarang timur
,Metodologi Penelitian Kualitatif,,Remaja Rosdakarya,979-514-051-5,Bandung
,Memahami kembali sosiologi,,Gadjah Mada University Press,979-420-346-7,Yogyakarta
,Statistika Analisis Hubungan kausal Berdasarkan Data Kategorik,,Raja Grafindo Persada,979-421-614-3,Jakarta
,Komunikasi grafis,,Bumi aksara,979-526-702-7,Jakarta
,Metodologi Penelitian,,Mandar Maju,979-538-226-8,Bandung
,Analisa Fungsional,,CV. Rajawali,979-421-194-x,Jakarta Utara
,Motodologi Penelitian,,Gramedia Wdiasarana Indonesia,979-695-645-4,Jakarta
,Proses Penelitian Kuantitatif,,FEUI,978-979-25-5223-5,Jakarta
,Metodologi Penelitian Kualitatif,,Rake Sarasin,979-8975-05-7,Yogyakarta
,Power & Progress,,McGraw-Hill Paperbacks,0-07-005231-x,New York
,Neurobiologi,,Djambatan,979-526-081-2,Jakarta
,Dasar-dasar Fotogrametri : Interpretasi Foto Udara,,Universitas Indonesia,979-8034-72-4,Jakarta
,Penelitian operasional,,Uip-press,979-8034-74-0,Jakarta
,Buku ajar fisiologi kedokteran,,Gramedia Pustaka Utama,979-448-586-1,Jakarta
,Social Science,,Macmillan Publishing Company,0-02-358920-5,New York
,Anatomi dan fisiologi untuk paramedis,,Gramedia Pustaka Utama,979-686-065-1,Jakarta
,Fisiologi manusia dan mekanisme penyakit,,Gramedia Pustaka Utama,979-448-024-x,Jakarta
,Dasar-dasar fisiologi kardiovaskuler,,Gramedia Pustaka Utama,979-448-096-7,Jakarta
,B021559 Soal jawab dan pembahasan struktur & komponen tubuh manusia,,Gramedia Pustaka Utama,979-3027-28-2,Jakarta
,B021560 Tumbuh kembang anak,,Gramedia Pustaka Utama,979-448-277-3,Jakarta
,Metodologi Penelitian,,Bumi aksara,979-526-107-x,Jakarta
,The Throwaway People Social Impact Of the Gogol Timber Project Madang Province,,Library Of Australia,0-7247-259-8,Australia
,Biokimia : Suatu pendekatan berorientasi kasus,,Gramedia Pustaka Utama,979-420-288-6,Jakarta
,Theory And Research In Teaching,,Techers College Press,63-18839,New York
,Wayang Beber Wonosari,,Bina Citra Pustaka,979-97919-3-6,Pacitan
,Metode Penelitian,,Ghalia Indonesia,979-450-173-5,Jakarta
,Principles of sociology,,Mcgraw-Hill book company,0-07-023758-1,New York
,Doing sociology,,Gramedia Pustaka Utama,0-333-55082-x,London
,Masyarakat dan kebudayaan,,Djambatan,979-428-102-6,Jakarta
,"Women,s Leisure What Leisure?",,Macmilan,0-333-43519-2,Hong kong
,Metodologi Penelitian Pendidikan,,Rineka Cipta,978-979-518-714-1,Jakarta
,Metode Penelitian Untuk Skripsi Dan Tesis Bisnis,,Rajawali Pers,979-421-608-9,Jakarta
,Antropologi,,Erlangga,62-10-049-0,Jakarta
,The structure of sociological theory,,Wadsworth Publiching Company,0-534-13842-x,America
,Metode Penelitian Sosial,,Remaja Rosdakarya,979-514-525-8,Bandung
,Starting sociology,,Harper Collins,0-06-044078-3,London
,Fun Game 50 Permainan Menyenangkan Di Indoor dan Outdoor,,Penebar Plus,979-2927-18-6,Jakarta
,Teknik Sampling ; Untuk Survei Dan Eksperimen,,Rineka Cipta,979-518-314-1,Jakarta
,Performing Arts Careers,,VGM Career Books,0-658-00471-9,USA
,Ilmu gizi untuk mahasiswa dan profesi,,PT. Dian Rakyat,979-523-226-6,Jakarta
